,dteday,season,year,month,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count,category_days,humidity_category
0,2011-01-01,springer,2011,january,0,saturday,cloudy,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,terlalu lembab
1,2011-01-02,springer,2011,january,0,sunday,cloudy,0.363478,0.353739,69.6087,0.248539,131,670,801,weekend,terlalu lembab
2,2011-01-03,springer,2011,january,0,monday,clear,0.196364,0.189405,43.7273,0.248309,120,1229,1349,weekdays,terlalu kering
3,2011-01-04,springer,2011,january,0,tuesday,clear,0.2,0.212122,59.0435,0.160296,108,1454,1562,weekdays,ideal
4,2011-01-05,springer,2011,january,0,wednesday,clear,0.226957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekdays,terlalu kering
5,2011-01-06,springer,2011,january,0,thursday,clear,0.204348,0.233209,51.8261,0.0895652,88,1518,1606,weekdays,ideal
6,2011-01-07,springer,2011,january,0,friday,cloudy,0.196522,0.208839,49.8696,0.168726,148,1362,1510,weekdays,ideal
7,2011-01-08,springer,2011,january,0,saturday,cloudy,0.165,0.162254,53.5833,0.266804,68,891,959,weekend,ideal
8,2011-01-09,springer,2011,january,0,sunday,clear,0.138333,0.116175,43.416700000000006,0.36195,54,768,822,weekend,terlalu kering
9,2011-01-10,springer,2011,january,0,monday,clear,0.150833,0.150888,48.2917,0.223267,41,1280,1321,weekdays,ideal
10,2011-01-11,springer,2011,january,0,tuesday,cloudy,0.169091,0.191464,68.6364,0.122132,43,1220,1263,weekdays,terlalu lembab
11,2011-01-12,springer,2011,january,0,wednesday,clear,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekdays,ideal
12,2011-01-13,springer,2011,january,0,thursday,clear,0.165,0.150883,47.0417,0.301,38,1368,1406,weekdays,ideal
13,2011-01-14,springer,2011,january,0,friday,clear,0.16087,0.188413,53.7826,0.126548,54,1367,1421,weekdays,ideal
14,2011-01-15,springer,2011,january,0,saturday,cloudy,0.233333,0.248112,49.875,0.157963,222,1026,1248,weekend,ideal
15,2011-01-16,springer,2011,january,0,sunday,clear,0.231667,0.234217,48.375,0.188433,251,953,1204,weekend,ideal
16,2011-01-17,springer,2011,january,1,monday,cloudy,0.175833,0.176771,53.75,0.194017,117,883,1000,weekdays,ideal
17,2011-01-18,springer,2011,january,0,tuesday,cloudy,0.216667,0.232333,86.16669999999999,0.146775,9,674,683,weekdays,terlalu lembab
18,2011-01-19,springer,2011,january,0,wednesday,cloudy,0.292174,0.298422,74.1739,0.208317,78,1572,1650,weekdays,terlalu lembab
19,2011-01-20,springer,2011,january,0,thursday,cloudy,0.261667,0.25505,53.833299999999994,0.195904,83,1844,1927,weekdays,ideal
20,2011-01-21,springer,2011,january,0,friday,clear,0.1775,0.157833,45.7083,0.353242,75,1468,1543,weekdays,ideal
21,2011-01-22,springer,2011,january,0,saturday,clear,0.0591304,0.0790696,40.0,0.17197,93,888,981,weekend,terlalu kering
22,2011-01-23,springer,2011,january,0,sunday,clear,0.0965217,0.0988391,43.6522,0.2466,150,836,986,weekend,terlalu kering
23,2011-01-24,springer,2011,january,0,monday,clear,0.0973913,0.11793,49.173899999999996,0.15833,86,1330,1416,weekdays,ideal
24,2011-01-25,springer,2011,january,0,tuesday,cloudy,0.223478,0.234526,61.695699999999995,0.129796,186,1799,1985,weekdays,ideal
25,2011-01-26,springer,2011,january,0,wednesday,light_rain,0.2175,0.2036,86.25,0.29385,34,472,506,weekdays,terlalu lembab
26,2011-01-27,springer,2011,january,0,thursday,clear,0.195,0.2197,68.75,0.113837,15,416,431,weekdays,terlalu lembab
27,2011-01-28,springer,2011,january,0,friday,cloudy,0.203478,0.223317,79.30430000000001,0.1233,38,1129,1167,weekdays,terlalu lembab
28,2011-01-29,springer,2011,january,0,saturday,clear,0.196522,0.212126,65.17389999999999,0.145365,123,975,1098,weekend,terlalu lembab
29,2011-01-30,springer,2011,january,0,sunday,clear,0.216522,0.250322,72.2174,0.0739826,140,956,1096,weekend,terlalu lembab
30,2011-01-31,springer,2011,january,0,monday,cloudy,0.180833,0.18625,60.375,0.187192,42,1459,1501,weekdays,ideal
31,2011-02-01,springer,2011,february,0,tuesday,cloudy,0.192174,0.23453,82.9565,0.053213,47,1313,1360,weekdays,terlalu lembab
32,2011-02-02,springer,2011,february,0,wednesday,cloudy,0.26,0.254417,77.5417,0.264308,72,1454,1526,weekdays,terlalu lembab
33,2011-02-03,springer,2011,february,0,thursday,clear,0.186957,0.177878,43.7826,0.277752,61,1489,1550,weekdays,terlalu kering
34,2011-02-04,springer,2011,february,0,friday,cloudy,0.211304,0.228587,58.521699999999996,0.127839,88,1620,1708,weekdays,ideal
35,2011-02-05,springer,2011,february,0,saturday,cloudy,0.233333,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,terlalu lembab
36,2011-02-06,springer,2011,february,0,sunday,clear,0.285833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,ideal
37,2011-02-07,springer,2011,february,0,monday,clear,0.271667,0.303658,73.83330000000001,0.0454083,120,1592,1712,weekdays,terlalu lembab
38,2011-02-08,springer,2011,february,0,tuesday,clear,0.220833,0.198246,53.7917,0.36195,64,1466,1530,weekdays,ideal
39,2011-02-09,springer,2011,february,0,wednesday,cloudy,0.134783,0.144283,49.4783,0.188839,53,1552,1605,weekdays,ideal
40,2011-02-10,springer,2011,february,0,thursday,clear,0.144348,0.149548,43.7391,0.221935,47,1491,1538,weekdays,terlalu kering
41,2011-02-11,springer,2011,february,0,friday,clear,0.189091,0.213509,50.6364,0.10855,149,1597,1746,weekdays,ideal
42,2011-02-12,springer,2011,february,0,saturday,clear,0.2225,0.232954,54.4167,0.203367,288,1184,1472,weekend,ideal
43,2011-02-13,springer,2011,february,0,sunday,clear,0.316522,0.324113,45.7391,0.260883,397,1192,1589,weekend,ideal
44,2011-02-14,springer,2011,february,0,monday,clear,0.415,0.39835,37.583299999999994,0.417908,208,1705,1913,weekdays,terlalu kering
45,2011-02-15,springer,2011,february,0,tuesday,clear,0.266087,0.254274,31.434800000000003,0.291374,140,1675,1815,weekdays,terlalu kering
46,2011-02-16,springer,2011,february,0,wednesday,clear,0.318261,0.3162,42.3478,0.251791,218,1897,2115,weekdays,terlalu kering
47,2011-02-17,springer,2011,february,0,thursday,clear,0.435833,0.428658,50.5,0.230104,259,2216,2475,weekdays,ideal
48,2011-02-18,springer,2011,february,0,friday,clear,0.521667,0.511983,51.6667,0.264925,579,2348,2927,weekdays,ideal
49,2011-02-19,springer,2011,february,0,saturday,clear,0.399167,0.391404,18.7917,0.507463,532,1103,1635,weekend,terlalu kering
50,2011-02-20,springer,2011,february,0,sunday,clear,0.285217,0.27733,40.7826,0.223235,639,1173,1812,weekend,terlalu kering
51,2011-02-21,springer,2011,february,1,monday,cloudy,0.303333,0.284075,60.5,0.307846,195,912,1107,weekdays,ideal
52,2011-02-22,springer,2011,february,0,tuesday,clear,0.182222,0.186033,57.7778,0.195683,74,1376,1450,weekdays,ideal
53,2011-02-23,springer,2011,february,0,wednesday,clear,0.221739,0.245717,42.3043,0.094113,139,1778,1917,weekdays,terlalu kering
54,2011-02-24,springer,2011,february,0,thursday,cloudy,0.295652,0.289191,69.7391,0.250496,100,1707,1807,weekdays,terlalu lembab
55,2011-02-25,springer,2011,february,0,friday,cloudy,0.364348,0.350461,71.2174,0.346539,120,1341,1461,weekdays,terlalu lembab
56,2011-02-26,springer,2011,february,0,saturday,clear,0.2825,0.282192,53.7917,0.186571,424,1545,1969,weekend,ideal
57,2011-02-27,springer,2011,february,0,sunday,clear,0.343478,0.351109,68.0,0.125248,694,1708,2402,weekend,terlalu lembab
58,2011-02-28,springer,2011,february,0,monday,cloudy,0.407273,0.400118,87.63640000000001,0.289686,81,1365,1446,weekdays,terlalu lembab
59,2011-03-01,springer,2011,march,0,tuesday,clear,0.266667,0.263879,53.5,0.216425,137,1714,1851,weekdays,ideal
60,2011-03-02,springer,2011,march,0,wednesday,clear,0.335,0.320071,44.9583,0.307833,231,1903,2134,weekdays,terlalu kering
61,2011-03-03,springer,2011,march,0,thursday,clear,0.198333,0.200133,31.833299999999998,0.225754,123,1562,1685,weekdays,terlalu kering
62,2011-03-04,springer,2011,march,0,friday,cloudy,0.261667,0.255679,61.0417,0.203346,214,1730,1944,weekdays,ideal
63,2011-03-05,springer,2011,march,0,saturday,cloudy,0.384167,0.378779,78.91669999999999,0.251871,640,1437,2077,weekend,terlalu lembab
64,2011-03-06,springer,2011,march,0,sunday,cloudy,0.376522,0.366252,94.8261,0.343287,114,491,605,weekend,terlalu lembab
65,2011-03-07,springer,2011,march,0,monday,clear,0.261739,0.238461,55.1304,0.341352,244,1628,1872,weekdays,ideal
66,2011-03-08,springer,2011,march,0,tuesday,clear,0.2925,0.3024,42.0833,0.12065,316,1817,2133,weekdays,terlalu kering
67,2011-03-09,springer,2011,march,0,wednesday,cloudy,0.295833,0.286608,77.5417,0.22015,191,1700,1891,weekdays,terlalu lembab
68,2011-03-10,springer,2011,march,0,thursday,light_rain,0.389091,0.385668,0.0,0.261877,46,577,623,weekdays,terlalu kering
69,2011-03-11,springer,2011,march,0,friday,cloudy,0.316522,0.305,64.95649999999999,0.23297,247,1730,1977,weekdays,ideal
70,2011-03-12,springer,2011,march,0,saturday,clear,0.329167,0.32575,59.458299999999994,0.220775,724,1408,2132,weekend,ideal
71,2011-03-13,springer,2011,march,0,sunday,clear,0.384348,0.380091,52.73910000000001,0.270604,982,1435,2417,weekend,ideal
72,2011-03-14,springer,2011,march,0,monday,clear,0.325217,0.332,49.695699999999995,0.136926,359,1687,2046,weekdays,ideal
73,2011-03-15,springer,2011,march,0,tuesday,cloudy,0.317391,0.318178,65.5652,0.184309,289,1767,2056,weekdays,terlalu lembab
74,2011-03-16,springer,2011,march,0,wednesday,cloudy,0.365217,0.36693,77.65220000000001,0.203117,321,1871,2192,weekdays,terlalu lembab
75,2011-03-17,springer,2011,march,0,thursday,clear,0.415,0.410333,60.291700000000006,0.209579,424,2320,2744,weekdays,ideal
76,2011-03-18,springer,2011,march,0,friday,clear,0.54,0.527009,52.5217,0.231017,884,2355,3239,weekdays,ideal
77,2011-03-19,springer,2011,march,0,saturday,clear,0.4725,0.466525,37.9167,0.368167,1424,1693,3117,weekend,terlalu kering
78,2011-03-20,springer,2011,march,0,sunday,clear,0.3325,0.32575,47.375,0.207721,1047,1424,2471,weekend,ideal
79,2011-03-21,summer,2011,march,0,monday,cloudy,0.430435,0.409735,73.73910000000001,0.288783,401,1676,2077,weekdays,terlalu lembab
80,2011-03-22,summer,2011,march,0,tuesday,clear,0.441667,0.440642,62.4583,0.22575,460,2243,2703,weekdays,ideal
81,2011-03-23,summer,2011,march,0,wednesday,cloudy,0.346957,0.337939,83.9565,0.234261,203,1918,2121,weekdays,terlalu lembab
82,2011-03-24,summer,2011,march,0,thursday,cloudy,0.285,0.270833,80.58330000000001,0.243787,166,1699,1865,weekdays,terlalu lembab
83,2011-03-25,summer,2011,march,0,friday,clear,0.264167,0.256312,49.5,0.230725,300,1910,2210,weekdays,ideal
84,2011-03-26,summer,2011,march,0,saturday,clear,0.265833,0.257571,39.4167,0.209571,981,1515,2496,weekend,terlalu kering
85,2011-03-27,summer,2011,march,0,sunday,cloudy,0.253043,0.250339,49.3913,0.1843,472,1221,1693,weekend,ideal
86,2011-03-28,summer,2011,march,0,monday,clear,0.264348,0.257574,30.2174,0.212204,222,1806,2028,weekdays,terlalu kering
87,2011-03-29,summer,2011,march,0,tuesday,clear,0.3025,0.292908,31.4167,0.226996,317,2108,2425,weekdays,terlalu kering
88,2011-03-30,summer,2011,march,0,wednesday,cloudy,0.3,0.29735,64.6667,0.172888,168,1368,1536,weekdays,ideal
89,2011-03-31,summer,2011,march,0,thursday,light_rain,0.268333,0.257575,91.8333,0.217646,179,1506,1685,weekdays,terlalu lembab
90,2011-04-01,summer,2011,april,0,friday,cloudy,0.3,0.283454,68.625,0.258708,307,1920,2227,weekdays,terlalu lembab
91,2011-04-02,summer,2011,april,0,saturday,cloudy,0.315,0.315637,65.375,0.197146,898,1354,2252,weekend,terlalu lembab
92,2011-04-03,summer,2011,april,0,sunday,clear,0.378333,0.378767,48.0,0.182213,1651,1598,3249,weekend,ideal
93,2011-04-04,summer,2011,april,0,monday,clear,0.573333,0.542929,42.625,0.385571,734,2381,3115,weekdays,terlalu kering
94,2011-04-05,summer,2011,april,0,tuesday,cloudy,0.414167,0.39835,64.2083,0.388067,167,1628,1795,weekdays,ideal
95,2011-04-06,summer,2011,april,0,wednesday,clear,0.390833,0.387608,47.0833,0.263063,413,2395,2808,weekdays,ideal
96,2011-04-07,summer,2011,april,0,thursday,clear,0.4375,0.433696,60.291700000000006,0.162312,571,2570,3141,weekdays,ideal
97,2011-04-08,summer,2011,april,0,friday,cloudy,0.335833,0.324479,83.625,0.226992,172,1299,1471,weekdays,terlalu lembab
98,2011-04-09,summer,2011,april,0,saturday,cloudy,0.3425,0.341529,87.75,0.133083,879,1576,2455,weekend,terlalu lembab
99,2011-04-10,summer,2011,april,0,sunday,cloudy,0.426667,0.426737,85.75,0.146767,1188,1707,2895,weekend,terlalu lembab
100,2011-04-11,summer,2011,april,0,monday,cloudy,0.595652,0.565217,71.6956,0.324474,855,2493,3348,weekdays,terlalu lembab
101,2011-04-12,summer,2011,april,0,tuesday,cloudy,0.5025,0.493054,73.9167,0.274879,257,1777,2034,weekdays,terlalu lembab
102,2011-04-13,summer,2011,april,0,wednesday,cloudy,0.4125,0.417283,81.91669999999999,0.250617,209,1953,2162,weekdays,terlalu lembab
103,2011-04-14,summer,2011,april,0,thursday,clear,0.4675,0.462742,54.041700000000006,0.1107,529,2738,3267,weekdays,ideal
104,2011-04-15,summer,2011,april,1,friday,clear,0.446667,0.441913,67.125,0.226375,642,2484,3126,weekdays,terlalu lembab
105,2011-04-16,summer,2011,april,0,saturday,light_rain,0.430833,0.425492,88.83330000000001,0.340808,121,674,795,weekend,terlalu lembab
106,2011-04-17,summer,2011,april,0,sunday,clear,0.456667,0.445696,47.9583,0.303496,1558,2186,3744,weekend,ideal
107,2011-04-18,summer,2011,april,0,monday,clear,0.5125,0.503146,54.25,0.163567,669,2760,3429,weekdays,ideal
108,2011-04-19,summer,2011,april,0,tuesday,cloudy,0.505833,0.489258,66.5833,0.157971,409,2795,3204,weekdays,terlalu lembab
109,2011-04-20,summer,2011,april,0,wednesday,clear,0.595,0.564392,61.4167,0.241925,613,3331,3944,weekdays,ideal
110,2011-04-21,summer,2011,april,0,thursday,clear,0.459167,0.453892,40.708299999999994,0.325258,745,3444,4189,weekdays,terlalu kering
111,2011-04-22,summer,2011,april,0,friday,cloudy,0.336667,0.321954,72.9583,0.219521,177,1506,1683,weekdays,terlalu lembab
112,2011-04-23,summer,2011,april,0,saturday,cloudy,0.46,0.450121,88.79169999999999,0.230725,1462,2574,4036,weekend,terlalu lembab
113,2011-04-24,summer,2011,april,0,sunday,cloudy,0.581667,0.551763,81.08330000000001,0.192175,1710,2481,4191,weekend,terlalu lembab
114,2011-04-25,summer,2011,april,0,monday,clear,0.606667,0.5745,77.6667,0.185333,773,3300,4073,weekdays,terlalu lembab
115,2011-04-26,summer,2011,april,0,tuesday,clear,0.631667,0.594083,72.9167,0.3265,678,3722,4400,weekdays,terlalu lembab
116,2011-04-27,summer,2011,april,0,wednesday,cloudy,0.62,0.575142,83.54169999999999,0.3122,547,3325,3872,weekdays,terlalu lembab
117,2011-04-28,summer,2011,april,0,thursday,cloudy,0.6175,0.578929,70.08330000000001,0.320908,569,3489,4058,weekdays,terlalu lembab
118,2011-04-29,summer,2011,april,0,friday,clear,0.51,0.497463,45.7083,0.240063,878,3717,4595,weekdays,ideal
119,2011-04-30,summer,2011,april,0,saturday,clear,0.4725,0.464021,50.3333,0.235075,1965,3347,5312,weekend,ideal
120,2011-05-01,summer,2011,may,0,sunday,cloudy,0.451667,0.448204,76.2083,0.106354,1138,2213,3351,weekend,terlalu lembab
121,2011-05-02,summer,2011,may,0,monday,cloudy,0.549167,0.532833,73.0,0.183454,847,3554,4401,weekdays,terlalu lembab
122,2011-05-03,summer,2011,may,0,tuesday,cloudy,0.616667,0.582079,69.7083,0.342667,603,3848,4451,weekdays,terlalu lembab
123,2011-05-04,summer,2011,may,0,wednesday,cloudy,0.414167,0.40465,73.70830000000001,0.328996,255,2378,2633,weekdays,terlalu lembab
124,2011-05-05,summer,2011,may,0,thursday,clear,0.459167,0.441917,44.4167,0.295392,614,3819,4433,weekdays,terlalu kering
125,2011-05-06,summer,2011,may,0,friday,clear,0.479167,0.474117,59.0,0.228246,894,3714,4608,weekdays,ideal
126,2011-05-07,summer,2011,may,0,saturday,clear,0.52,0.512621,54.125,0.16045,1612,3102,4714,weekend,ideal
127,2011-05-08,summer,2011,may,0,sunday,clear,0.528333,0.518933,63.1667,0.0746375,1401,2932,4333,weekend,ideal
128,2011-05-09,summer,2011,may,0,monday,clear,0.5325,0.525246,58.875,0.176,664,3698,4362,weekdays,ideal
129,2011-05-10,summer,2011,may,0,tuesday,clear,0.5325,0.522721,48.9167,0.115671,694,4109,4803,weekdays,ideal
130,2011-05-11,summer,2011,may,0,wednesday,clear,0.5425,0.5284,63.29169999999999,0.120642,550,3632,4182,weekdays,ideal
131,2011-05-12,summer,2011,may,0,thursday,clear,0.535,0.523363,74.75,0.189667,695,4169,4864,weekdays,terlalu lembab
132,2011-05-13,summer,2011,may,0,friday,cloudy,0.5125,0.4943,86.33330000000001,0.179725,692,3413,4105,weekdays,terlalu lembab
133,2011-05-14,summer,2011,may,0,saturday,cloudy,0.520833,0.500629,92.25,0.13495,902,2507,3409,weekend,terlalu lembab
134,2011-05-15,summer,2011,may,0,sunday,cloudy,0.5625,0.536,86.70830000000001,0.152979,1582,2971,4553,weekend,terlalu lembab
135,2011-05-16,summer,2011,may,0,monday,clear,0.5775,0.550512,78.79169999999999,0.126871,773,3185,3958,weekdays,terlalu lembab
136,2011-05-17,summer,2011,may,0,tuesday,cloudy,0.561667,0.538529,83.7917,0.277354,678,3445,4123,weekdays,terlalu lembab
137,2011-05-18,summer,2011,may,0,wednesday,cloudy,0.55,0.527158,87.0,0.201492,536,3319,3855,weekdays,terlalu lembab
138,2011-05-19,summer,2011,may,0,thursday,cloudy,0.530833,0.510742,82.9583,0.108213,735,3840,4575,weekdays,terlalu lembab
139,2011-05-20,summer,2011,may,0,friday,clear,0.536667,0.529042,71.9583,0.125013,909,4008,4917,weekdays,terlalu lembab
140,2011-05-21,summer,2011,may,0,saturday,clear,0.6025,0.571975,62.6667,0.12065,2258,3547,5805,weekend,ideal
141,2011-05-22,summer,2011,may,0,sunday,clear,0.604167,0.5745,74.9583,0.148008,1576,3084,4660,weekend,terlalu lembab
142,2011-05-23,summer,2011,may,0,monday,cloudy,0.631667,0.590296,81.0,0.233842,836,3438,4274,weekdays,terlalu lembab
143,2011-05-24,summer,2011,may,0,tuesday,cloudy,0.66,0.604813,74.0833,0.207092,659,3833,4492,weekdays,terlalu lembab
144,2011-05-25,summer,2011,may,0,wednesday,clear,0.660833,0.615542,69.625,0.154233,740,4238,4978,weekdays,terlalu lembab
145,2011-05-26,summer,2011,may,0,thursday,clear,0.708333,0.654688,67.75,0.199642,758,3919,4677,weekdays,terlalu lembab
146,2011-05-27,summer,2011,may,0,friday,clear,0.681667,0.637008,65.375,0.240679,871,3808,4679,weekdays,terlalu lembab
147,2011-05-28,summer,2011,may,0,saturday,clear,0.655833,0.612379,72.9583,0.230092,2001,2757,4758,weekend,terlalu lembab
148,2011-05-29,summer,2011,may,0,sunday,clear,0.6675,0.61555,81.875,0.213938,2355,2433,4788,weekend,terlalu lembab
149,2011-05-30,summer,2011,may,1,monday,clear,0.733333,0.671092,68.5,0.131225,1549,2549,4098,weekdays,terlalu lembab
150,2011-05-31,summer,2011,may,0,tuesday,clear,0.775,0.725383,63.6667,0.111329,673,3309,3982,weekdays,ideal
151,2011-06-01,summer,2011,june,0,wednesday,cloudy,0.764167,0.720967,67.7083,0.207092,513,3461,3974,weekdays,terlalu lembab
152,2011-06-02,summer,2011,june,0,thursday,clear,0.715,0.643942,30.5,0.292287,736,4232,4968,weekdays,terlalu kering
153,2011-06-03,summer,2011,june,0,friday,clear,0.62,0.587133,35.4167,0.253121,898,4414,5312,weekdays,terlalu kering
154,2011-06-04,summer,2011,june,0,saturday,clear,0.635,0.594696,45.625,0.123142,1869,3473,5342,weekend,ideal
155,2011-06-05,summer,2011,june,0,sunday,cloudy,0.648333,0.616804,65.25,0.138692,1685,3221,4906,weekend,terlalu lembab
156,2011-06-06,summer,2011,june,0,monday,clear,0.678333,0.621858,60.0,0.121896,673,3875,4548,weekdays,ideal
157,2011-06-07,summer,2011,june,0,tuesday,clear,0.7075,0.65595,59.791700000000006,0.187808,763,4070,4833,weekdays,ideal
158,2011-06-08,summer,2011,june,0,wednesday,clear,0.775833,0.727279,62.20830000000001,0.136817,676,3725,4401,weekdays,ideal
159,2011-06-09,summer,2011,june,0,thursday,cloudy,0.808333,0.757579,56.833299999999994,0.149883,563,3352,3915,weekdays,ideal
160,2011-06-10,summer,2011,june,0,friday,clear,0.755,0.703292,60.5,0.140554,815,3771,4586,weekdays,ideal
161,2011-06-11,summer,2011,june,0,saturday,clear,0.725,0.678038,65.45830000000001,0.15485,1729,3237,4966,weekend,terlalu lembab
162,2011-06-12,summer,2011,june,0,sunday,clear,0.6925,0.643325,74.7917,0.163567,1467,2993,4460,weekend,terlalu lembab
163,2011-06-13,summer,2011,june,0,monday,clear,0.635,0.601654,49.4583,0.30535,863,4157,5020,weekdays,ideal
164,2011-06-14,summer,2011,june,0,tuesday,clear,0.604167,0.591546,50.708299999999994,0.269283,727,4164,4891,weekdays,ideal
165,2011-06-15,summer,2011,june,0,wednesday,clear,0.626667,0.587754,47.1667,0.167912,769,4411,5180,weekdays,ideal
166,2011-06-16,summer,2011,june,0,thursday,cloudy,0.628333,0.595346,68.8333,0.206471,545,3222,3767,weekdays,terlalu lembab
167,2011-06-17,summer,2011,june,0,friday,clear,0.649167,0.600383,73.5833,0.143029,863,3981,4844,weekdays,terlalu lembab
168,2011-06-18,summer,2011,june,0,saturday,clear,0.696667,0.643954,67.0417,0.119408,1807,3312,5119,weekend,terlalu lembab
169,2011-06-19,summer,2011,june,0,sunday,cloudy,0.699167,0.645846,66.6667,0.102,1639,3105,4744,weekend,terlalu lembab
170,2011-06-20,summer,2011,june,0,monday,cloudy,0.635,0.595346,74.625,0.155475,699,3311,4010,weekdays,terlalu lembab
171,2011-06-21,fall,2011,june,0,tuesday,cloudy,0.680833,0.637646,77.0417,0.171025,774,4061,4835,weekdays,terlalu lembab
172,2011-06-22,fall,2011,june,0,wednesday,clear,0.733333,0.693829,70.75,0.172262,661,3846,4507,weekdays,terlalu lembab
173,2011-06-23,fall,2011,june,0,thursday,cloudy,0.728333,0.693833,70.3333,0.238804,746,4044,4790,weekdays,terlalu lembab
174,2011-06-24,fall,2011,june,0,friday,clear,0.724167,0.656583,57.3333,0.222025,969,4022,4991,weekdays,ideal
175,2011-06-25,fall,2011,june,0,saturday,clear,0.695,0.643313,48.3333,0.209571,1782,3420,5202,weekend,ideal
176,2011-06-26,fall,2011,june,0,sunday,clear,0.68,0.637629,51.3333,0.0945333,1920,3385,5305,weekend,ideal
177,2011-06-27,fall,2011,june,0,monday,cloudy,0.6825,0.637004,65.8333,0.107588,854,3854,4708,weekdays,terlalu lembab
178,2011-06-28,fall,2011,june,0,tuesday,clear,0.744167,0.692558,63.416700000000006,0.144283,732,3916,4648,weekdays,ideal
179,2011-06-29,fall,2011,june,0,wednesday,clear,0.728333,0.654688,49.7917,0.261821,848,4377,5225,weekdays,ideal
180,2011-06-30,fall,2011,june,0,thursday,clear,0.696667,0.637008,43.416700000000006,0.185312,1027,4488,5515,weekdays,terlalu kering
181,2011-07-01,fall,2011,july,0,friday,clear,0.7225,0.652162,39.625,0.102608,1246,4116,5362,weekdays,terlalu kering
182,2011-07-02,fall,2011,july,0,saturday,clear,0.738333,0.667308,44.4583,0.115062,2204,2915,5119,weekend,terlalu kering
